,venue,latitude,longitude,price_for_two,price_range,rating,address
345,Good Cow Cafe,17.431836,78.408325,900.0,2.0,4.1,"Plot 479/B, Road 21, Near Rayalaseema Ruchulu, Jubilee Hills, Hyderabad"
346,Afghani Kabab Express,17.39629,78.450959,600.0,2.0,3.1,"M. A S Residency, Vijay Nagar Colony Road, Castle Hills, Venkatadri Colony, Masab Tank, Hyderabad"
347,Afghani Kabab Express,17.39629,78.450959,600.0,2.0,3.1,"M. A S Residency, Vijay Nagar Colony Road, Castle Hills, Venkatadri Colony, Masab Tank, Hyderabad"
348,KFC,17.396522,78.442929,450.0,1.0,4.0,"10-3-76, 3/4, Ground Floor, Pillar 3, Humayun Nagar, Mehdipatnam, Hyderabad"
349,New 999 Tiffin Center,17.392443,78.43777,150.0,1.0,3.1,"12-2-823/A/31/2/A, Santosh Nagar Colony, Near St. Ans College, Mehdipatnam, Hyderabad"
350,20-20 Fast Food Court,17.395075,78.427089,300.0,1.0,0,"9-4-84/2, Kakathiya Nagar, Opposite HDFC Bank, Nanal Nagar, Tolichowki, Hyderabad"
351,Jalpaan,17.430248,78.456702,1700.0,3.0,4.2,"6 3 112, 4th Floor, Oasis Center, Opposite Kalanekatan Wedding Mall, Somajiguda Main Road, Begumpet, Hyderabad"
352,KFC,17.495052,78.356032,450.0,1.0,3.8,"Plot 8,9,14 & 15 , Survey 221, Beside Vijetha & Heritage Supermarkets, Madinaguda, Nandini Nagar, Ambedkar Nagar, Miyapur"
353,Domino's Pizza,17.477176,78.327138,400.0,1.0,3.4,"Ground Floor, M.A Plaza, Plot 6, Survey 195, Ashok Nagar Colony, Ramachandrapuram, Sanga Reddy, Chanda Nagar, Hyderabad"
354,Sri Sai Balaji Food Court,17.507013,78.354249,300.0,1.0,3.2,"Plot 6, Part 1 & 2, Prasanth Nagar, Miyapur, Hyderabad"
355,Angaara Restaurant,17.496793,78.360705,1000.0,3.0,4.1,"Plot 21, T.K. Heights, Miyapur, Hyderabad"
356,Bommarillu,17.49619,78.363383,700.0,2.0,2.5,"Beside Kalyan Function Hall, Miyapur Crossroad, Miyapur, Hyderabad"
357,Beijing Bistro,17.491331,78.3532,750.0,2.0,3.7,"House No. 8-230, Opposite More Supermarket, Allwyn Colony, Miyapur Allwyn Crossing, Miyapur, Hyderabad"
358,Grand Bavarchi,17.369489,78.515349,550.0,2.0,3.7,"TV Tower Cross Road, Moosarambagh, Malakpet, Hyderabad"
359,Serena Tiffins,17.368092,78.522259,250.0,1.0,3.3,"Opposite Balaji Electronics, Near Lane of R.S Brothers, Dilsukhnagar, Hyderabad"
360,Sri Surabhi Restaurant,17.455106,78.422648,700.0,2.0,3.4,"Plot 148, BKM Heights, Above More Super Market, Moti Nagar, Hyderabad"
361,Bakasura Restaurant,17.475053,78.563108,800.0,2.0,3.9,"11-6-9/C, 1st & 2nd Floor, Radhika Lane, A S Rao Nagar, Secunderabad"
362,Urban Wok,17.447526,78.571751,300.0,1.0,3.2,"2/1/1, Noma Talkies, Mallapur Maid Road, Mallapur, Secunderabad"
